Sensys Flugate FL3-2
Time [ns],rho [mm],phi [mm],z [mm],Bx [nT],BxStdDev [nT],By [nT],ByStdDev [nT],Bz [nT],BzStdDev [nT]
1223825764523507,0,0,0,282.759,0.0480189,71.5009,0.0586564,-116.352,0.0526506
1223829766522032,0,0,0,282.678,0.0480871,71.4949,0.0498952,-116.371,0.0615904
1223833768521854,0,0,0,282.669,0.0502987,71.57,0.0421828,-116.411,0.0445623
1223837770521807,0,0,0,282.608,0.0465158,71.5676,0.0429822,-116.411,0.055569
1223841772523908,0,0,0,282.589,0.0421218,71.5357,0.0406873,-116.31,0.0482594
1223845776521081,0,0,0,282.602,0.0453461,71.5441,0.05002,-116.296,0.0654752
1223849778524107,0,0,0,282.622,0.0505308,71.48,0.0516008,-116.229,0.0746176
1223853780523688,0,0,0,282.613,0.0448566,71.569,0.0470583,-116.253,0.0493995
1223857782523713,0,0,0,282.586,0.0455012,71.5175,0.0618303,-116.225,0.0603686
1223861784523330,0,0,0,282.624,0.0436256,71.4761,0.0411474,-116.244,0.0537932
1223865786521699,0,0,0,282.597,0.0426634,71.4821,0.0451437,-116.236,0.0592797
1223869788522516,0,0,0,282.559,0.050307,71.538,0.0472133,-116.255,0.0575738
1223873790524125,0,0,0,282.561,0.0404644,71.5516,0.039211,-116.191,0.0698296
1223877794523087,0,0,0,282.548,0.0492533,71.5173,0.0435324,-116.228,0.0530362
1223881796521768,0,0,0,282.525,0.0507833,71.5718,0.0465932,-116.198,0.0609468
1223885798524013,0,0,0,282.546,0.0467565,71.5623,0.0446781,-116.198,0.0554409
1223889800523474,0,0,0,282.494,0.0420533,71.5519,0.0476897,-116.243,0.0425867
1223893802523727,0,0,0,282.469,0.0485827,71.5809,0.0592372,-116.225,0.0560772
1223897804522600,0,0,0,282.455,0.0428484,71.5708,0.0471419,-116.195,0.0506161
1223901806524113,0,0,0,282.391,0.0419697,71.5141,0.0438077,-116.18,0.0576727
1223905808524222,0,0,0,282.418,0.0519011,71.5462,0.0497519,-116.143,0.054312
1223909810522255,0,0,0,282.445,0.0387476,71.5367,0.0428834,-116.234,0.0459693
1223913812524320,0,0,0,282.39,0.0418186,71.5286,0.0508307,-116.23,0.0643268
1223917814523469,0,0,0,282.876,0.104099,71.6478,0.0514713,-116.29,0.0639212
1223921816524022,0,0,0,283.016,0.0367071,71.6685,0.0423014,-116.357,0.0583002
1223925818522931,0,0,0,283.032,0.0442197,71.6456,0.0462438,-116.325,0.058502
1223929820521564,0,0,0,283.049,0.0436914,71.6541,0.055411,-116.384,0.0590076
1223933822521781,0,0,0,283.008,0.0474845,71.6052,0.0424782,-116.362,0.0546418
1223937824522982,0,0,0,282.985,0.0355664,71.6517,0.0400017,-116.359,0.0574537
1223941826523031,0,0,0,283.016,0.0357557,71.6286,0.0373333,-116.36,0.0521561
1223945828523404,0,0,0,283.009,0.0393992,71.681,0.0434235,-116.32,0.04776
1223949830523513,0,0,0,283.01,0.0482149,71.6867,0.052287,-116.285,0.0606145
1223953832523610,0,0,0,282.913,0.0450031,71.6303,0.045094,-116.204,0.0532017
1223957834524151,0,0,0,282.958,0.0387643,71.6457,0.0403685,-116.3,0.0639881
1223961838522681,0,0,0,283.026,0.0401719,71.6242,0.0435303,-116.302,0.0831747
1223965840523018,0,0,0,283.066,0.0379244,71.6477,0.0490956,-116.251,0.0435864
1223969842523175,0,0,0,282.961,0.0397666,71.6926,0.0483437,-116.294,0.0576766
1223973844521844,0,0,0,282.947,0.0359862,71.6821,0.0486425,-116.255,0.0663556
1223977848521574,0,0,0,282.944,0.0471462,71.6756,0.0409204,-116.286,0.0555358
1223981850523159,0,0,0,282.762,0.146376,71.6747,0.0540338,-116.196,0.0629384
1223985854523213,0,0,0,282.967,0.0376014,71.7231,0.050375,-116.299,0.0585042
1223989856521150,0,0,0,282.969,0.0451662,71.7491,0.045387,-116.326,0.0674054
1223993858522003,0,0,0,282.971,0.037874,71.7274,0.050441,-116.324,0.0418218
1223997860522064,0,0,0,282.989,0.0368804,71.7076,0.0406508,-116.317,0.0469442
1224001862521309,0,0,0,282.978,0.0486004,71.7565,0.047709,-116.345,0.0537209
1224005864523086,0,0,0,282.964,0.0394244,71.7293,0.0387424,-116.367,0.0585679
1224009866522559,0,0,0,282.962,0.0406041,71.6947,0.0476398,-116.307,0.0457908
1224013870521617,0,0,0,282.941,0.0402646,71.6504,0.0492377,-116.277,0.0487517
1224017874522979,0,0,0,282.902,0.0407566,71.7016,0.0463745,-116.289,0.0514194
1224021876521312,0,0,0,282.929,0.0405469,71.737,0.0578545,-116.306,0.0553059
1224025878522333,0,0,0,282.964,0.0511812,71.718,0.0525606,-116.348,0.0496543
1224029880522226,0,0,0,283,0.0375322,71.7099,0.0506928,-116.313,0.0503482
1224033884524200,0,0,0,282.949,0.041485,71.761,0.053007,-116.277,0.0646731
1224037886523889,0,0,0,282.935,0.0478474,71.7392,0.0388697,-116.269,0.0549828
1224041888523206,0,0,0,282.945,0.045635,71.7436,0.0394066,-116.237,0.0512132
1224045890522115,0,0,0,282.913,0.0423669,71.7475,0.0420666,-116.205,0.0479858
1224049892524516,0,0,0,282.9,0.0423133,71.7556,0.0419026,-116.225,0.052681
1224053894522369,0,0,0,282.933,0.0402775,71.7163,0.0409678,-116.173,0.0590587
1224057896521866,0,0,0,282.871,0.0346515,71.7237,0.0465722,-116.131,0.0547843
1224061898522300,0,0,0,282.896,0.0374178,71.7746,0.0396184,-116.206,0.0491569
1224065900522433,0,0,0,282.91,0.0486457,71.7315,0.0447647,-116.208,0.0583121
1224069902523982,0,0,0,282.909,0.0470011,71.6849,0.0580315,-116.188,0.0588716
1224073904524151,0,0,0,282.935,0.0392201,71.6913,0.0522411,-116.215,0.0485331
1224077906521080,0,0,0,282.888,0.0456907,71.7537,0.0495706,-116.231,0.0552014
1224081908521669,0,0,0,282.87,0.0446815,71.77,0.0504049,-116.219,0.053423
1224085910521982,0,0,0,282.878,0.0434386,71.7844,0.045769,-116.248,0.0582502
1224089912522739,0,0,0,282.695,0.17857,71.7431,0.0590726,-116.185,0.0923107
1224093914524408,0,0,0,282.86,0.0415143,71.7262,0.0495917,-116.248,0.064665
1224097916523533,0,0,0,282.878,0.0390993,71.7857,0.04979,-116.165,0.0476107
1224101918522094,0,0,0,282.908,0.0362659,71.7657,0.0467109,-116.202,0.0516326
